Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.217937   0.000000    0           1.000000
0.339636   0.100000    900         1.111111
0.384323   0.200000    1800        1.250000
0.423368   0.300000    2700        1.428571
0.456520   0.400000    3600        1.666667
0.494082   0.500000    4500        2.000000
0.516176   0.550000    4950        2.222222
0.539112   0.600000    5400        2.500000
0.564260   0.650000    5850        2.857143
0.595246   0.700000    6300        3.333333
0.633046   0.750000    6750        4.000000
0.655197   0.775000    6975        4.444444
0.680303   0.800000    7200        5.000000
0.710776   0.825000    7425        5.714286
0.746880   0.850000    7650        6.666667
0.795059   0.875000    7875        8.000000
0.827292   0.887500    7988        8.888889
0.868371   0.900000    8100        10.000000
0.921673   0.912500    8213        11.428571
0.979929   0.925000    8325        13.333333
1.054353   0.937500    8438        16.000000
1.093486   0.943750    8494        17.777778
1.132583   0.950000    8550        20.000000
1.171644   0.956250    8606        22.857143
1.216152   0.962500    8663        26.666667
1.268024   0.968750    8719        32.000000
1.296319   0.971875    8747        35.555556
1.326751   0.975000    8775        40.000000
1.355165   0.978125    8803        45.714286
1.388485   0.981250    8831        53.333333
1.432405   0.984375    8859        64.000000
1.465616   0.985938    8873        71.113640
1.499015   0.987500    8888        80.000000
1.534173   0.989062    8902        91.424392
1.576331   0.990625    8916        106.666667
1.628959   0.992188    8930        128.008193
1.673150   0.992969    8937        142.227279
1.721432   0.993750    8944        160.000000
1.769714   0.994531    8951        182.848784
1.877456   0.995313    8958        213.356091
2.012413   0.996094    8965        256.016385
2.079804   0.996484    8968        284.414107
2.260174   0.996875    8972        320.000000
2.539450   0.997266    8975        365.764448
2.818011   0.997656    8979        426.621160
3.097288   0.998047    8982        512.032770
3.733195   0.998242    8984        568.828214
4.391892   0.998437    8986        639.795266
5.053967   0.998633    8988        731.528895
5.712663   0.998828    8989        853.242321
6.456065   0.999023    8991        1023.541453
7.148020   0.999121    8992        1137.656428
7.839974   0.999219    8993        1280.409731
8.524868   0.999316    8994        1461.988304
9.216822   0.999414    8995        1706.484642
9.908777   0.999512    8996        2049.180328
10.254754  0.999561    8996        2277.904328
10.593670  0.999609    8996        2557.544757
11.948925  0.999658    8997        2923.976608
13.349621  0.999707    8997        3412.969283
14.750318  0.999756    8998        4098.360656
15.436373  0.999780    8998        4545.454545
16.151014  0.999805    8998        5128.205128
16.837069  0.999829    8998        5847.953216
17.551710  0.999854    8999        6849.315068
18.237766  0.999878    8999        8196.721311
18.580793  0.999890    8999        9090.909091
18.923821  0.999902    8999        10204.081633
19.295434  0.999915    8999        11764.705882
19.638462  0.999927    8999        13698.630137
19.981490  0.999939    8999        16393.442623
20.137123  0.999945    9000        18181.818182
20.137123  0.999951    9000        20408.163265
20.137123  0.999957    9000        23255.813953
20.137123  0.999963    9000        27027.027027
20.137123  0.999969    9000        32258.064516
20.137123  0.999973    9000        37037.037037
20.137123  0.999976    9000        41666.666667
20.137123  0.999979    9000        47619.047619
20.137123  0.999982    9000        55555.555556
20.137123  0.999985    9000        66666.666667
20.137123  0.999986    9000        71428.571429
20.137123  0.999988    9000        83333.333333
20.137123  0.999989    9000        90909.090909
20.137123  0.999991    9000        111111.111111
20.137123  0.999992    9000        125000.000000
20.137123  0.999993    9000        142857.142858
20.137123  0.999994    9000        166666.666668
20.137123  0.999995    9000        199999.999999
20.137123  0.999996    9000        250000.000000
20.137123  0.999997    9000        333333.333336
20.137123  0.999998    9000        500000.000013
20.137123  0.999999    9000        999999.999971
20.137123  1.000000    9000        10000000.000000
