Value(ms)     Percentile  TotalCount  1/(1-Percentile)
0.155250      0.000000    0           1.000000
0.839571      0.100000    1872        1.111111
1.779456      0.200000    3744        1.250000
25912.474259  0.300000    5616        1.428571
26206.696946  0.400000    7488        1.666667
26209.361340  0.500000    9360        2.000000
26210.367008  0.550000    10296       2.222222
26211.428272  0.600000    11232       2.500000
26212.556700  0.650000    12168       2.857143
26213.758789  0.700000    13104       3.333333
26215.036439  0.750000    14040       4.000000
26215.847403  0.775000    14508       4.444444
26216.801503  0.800000    14976       5.000000
26218.272637  0.825000    15444       5.714286
26220.439322  0.850000    15912       6.666667
26224.637911  0.875000    16380       8.000000
26230.115854  0.887500    16614       8.888889
26256.112250  0.900000    16848       10.000000
26285.886905  0.912500    17082       11.428571
26314.551493  0.925000    17316       13.333333
26343.405251  0.937500    17550       16.000000
26355.643987  0.943750    17667       17.777778
26368.962316  0.950000    17784       20.000000
26384.202784  0.956250    17901       22.857143
26397.513974  0.962500    18018       26.666667
26412.393891  0.968750    18135       32.000000
26419.773103  0.971875    18194       35.555556
26427.550632  0.975000    18252       40.000000
26434.997632  0.978125    18311       45.714286
26442.241083  0.981250    18369       53.333333
26450.144190  0.984375    18428       64.000000
26453.564701  0.985938    18457       71.113640
26456.983024  0.987500    18486       80.000000
26460.943995  0.989062    18515       91.424392
26464.907501  0.990625    18545       106.666667
26470.333449  0.992188    18574       128.008193
26473.060008  0.992969    18588       142.227279
26475.391299  0.993750    18603       160.000000
26477.722591  0.994531    18618       182.848784
26481.152847  0.995313    18632       213.356091
26485.313447  0.996094    18647       256.016385
26487.391083  0.996484    18654       284.414107
26489.489179  0.996875    18662       320.000000
26491.645988  0.997266    18669       365.764448
26493.797280  0.997656    18676       426.621160
26496.101709  0.998047    18683       512.032770
26497.298728  0.998242    18687       568.828214
26498.495747  0.998437    18691       639.795266
26502.024364  0.998633    18694       731.528895
26506.744081  0.998828    18698       853.242321
26511.463798  0.999023    18702       1023.541453
26513.835759  0.999121    18704       1137.656428
26516.207719  0.999219    18705       1280.409731
26518.555476  0.999316    18707       1461.988304
26522.650719  0.999414    18709       1706.484642
26528.091826  0.999512    18711       2049.180328
26530.812379  0.999561    18712       2277.904328
26533.477411  0.999609    18713       2557.544757
26536.197965  0.999658    18714       2923.976608
26538.918518  0.999707    18715       3412.969283
26541.639071  0.999756    18715       4098.360656
26542.971587  0.999780    18716       4545.454545
26544.359625  0.999805    18716       5128.205128
26545.668943  0.999829    18717       5847.953216
26547.020655  0.999854    18717       6849.315068
26548.318300  0.999878    18718       8196.721311
26548.967122  0.999890    18718       9090.909091
26549.615944  0.999902    18718       10204.081633
26550.318835  0.999915    18718       11764.705882
26550.967657  0.999927    18719       13698.630137
26551.616480  0.999939    18719       16393.442623
26551.940891  0.999945    18719       18181.818182
26552.265302  0.999951    18719       20408.163265
26552.589713  0.999957    18719       23255.813953
26552.914124  0.999963    18719       27027.027027
26553.238535  0.999969    18719       32258.064516
26553.454809  0.999973    18719       37037.037037
26553.470522  0.999976    18720       41666.666667
26553.470522  0.999979    18720       47619.047619
26553.470522  0.999982    18720       55555.555556
26553.470522  0.999985    18720       66666.666667
26553.470522  0.999986    18720       71428.571429
26553.470522  0.999988    18720       83333.333333
26553.470522  0.999989    18720       90909.090909
26553.470522  0.999991    18720       111111.111111
26553.470522  0.999992    18720       125000.000000
26553.470522  0.999993    18720       142857.142858
26553.470522  0.999994    18720       166666.666668
26553.470522  0.999995    18720       199999.999999
26553.470522  0.999996    18720       250000.000000
26553.470522  0.999997    18720       333333.333336
26553.470522  0.999998    18720       500000.000013
26553.470522  0.999999    18720       999999.999971
26553.470522  1.000000    18720       10000000.000000
