Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.225911   0.000000    0           1.000000
0.357698   0.100000    900         1.111111
0.401416   0.200000    1800        1.250000
0.437985   0.300000    2700        1.428571
0.471151   0.400000    3600        1.666667
0.505109   0.500000    4500        2.000000
0.525521   0.550000    4950        2.222222
0.547030   0.600000    5400        2.500000
0.570087   0.650000    5850        2.857143
0.596399   0.700000    6300        3.333333
0.629914   0.750000    6750        4.000000
0.652925   0.775000    6975        4.444444
0.679713   0.800000    7200        5.000000
0.713152   0.825000    7425        5.714286
0.761671   0.850000    7650        6.666667
0.843654   0.875000    7875        8.000000
0.897476   0.887500    7988        8.888889
0.971946   0.900000    8100        10.000000
1.051151   0.912500    8213        11.428571
1.113055   0.925000    8325        13.333333
1.170576   0.937500    8438        16.000000
1.200929   0.943750    8494        17.777778
1.228339   0.950000    8550        20.000000
1.252788   0.956250    8606        22.857143
1.278597   0.962500    8663        26.666667
1.309216   0.968750    8719        32.000000
1.326981   0.971875    8747        35.555556
1.345989   0.975000    8775        40.000000
1.372321   0.978125    8803        45.714286
1.394390   0.981250    8831        53.333333
1.425253   0.984375    8859        64.000000
1.441674   0.985938    8873        71.113640
1.459703   0.987500    8888        80.000000
1.479364   0.989062    8902        91.424392
1.506418   0.990625    8916        106.666667
1.538127   0.992188    8930        128.008193
1.567404   0.992969    8937        142.227279
1.601333   0.993750    8944        160.000000
1.635263   0.994531    8951        182.848784
1.677222   0.995313    8958        213.356091
1.721709   0.996094    8965        256.016385
1.760038   0.996484    8968        284.414107
1.824129   0.996875    8972        320.000000
1.888220   0.997266    8975        365.764448
2.095054   0.997656    8979        426.621160
2.423269   0.998047    8982        512.032770
2.586957   0.998242    8984        568.828214
2.750644   0.998437    8986        639.795266
2.943462   0.998633    8988        731.528895
3.178384   0.998828    8989        853.242321
3.413306   0.999023    8991        1023.541453
3.531369   0.999121    8992        1137.656428
3.649433   0.999219    8993        1280.409731
3.766291   0.999316    8994        1461.988304
4.566255   0.999414    8995        1706.484642
5.512744   0.999512    8996        2049.180328
5.985988   0.999561    8996        2277.904328
6.449574   0.999609    8996        2557.544757
6.922818   0.999658    8997        2923.976608
7.396063   0.999707    8997        3412.969283
7.902358   0.999756    8998        4098.360656
8.157634   0.999780    8998        4545.454545
8.423547   0.999805    8998        5128.205128
8.678824   0.999829    8998        5847.953216
8.944737   0.999854    8999        6849.315068
9.200014   0.999878    8999        8196.721311
9.327652   0.999890    8999        9090.909091
9.455290   0.999902    8999        10204.081633
9.593565   0.999915    8999        11764.705882
9.721203   0.999927    8999        13698.630137
9.848842   0.999939    8999        16393.442623
9.906752   0.999945    9000        18181.818182
9.906752   0.999951    9000        20408.163265
9.906752   0.999957    9000        23255.813953
9.906752   0.999963    9000        27027.027027
9.906752   0.999969    9000        32258.064516
9.906752   0.999973    9000        37037.037037
9.906752   0.999976    9000        41666.666667
9.906752   0.999979    9000        47619.047619
9.906752   0.999982    9000        55555.555556
9.906752   0.999985    9000        66666.666667
9.906752   0.999986    9000        71428.571429
9.906752   0.999988    9000        83333.333333
9.906752   0.999989    9000        90909.090909
9.906752   0.999991    9000        111111.111111
9.906752   0.999992    9000        125000.000000
9.906752   0.999993    9000        142857.142858
9.906752   0.999994    9000        166666.666668
9.906752   0.999995    9000        199999.999999
9.906752   0.999996    9000        250000.000000
9.906752   0.999997    9000        333333.333336
9.906752   0.999998    9000        500000.000013
9.906752   0.999999    9000        999999.999971
9.906752   1.000000    9000        10000000.000000
