Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.179193   0.000000    0           1.000000
0.331083   0.100000    900         1.111111
0.394838   0.200000    1800        1.250000
0.441934   0.300000    2700        1.428571
0.486808   0.400000    3600        1.666667
0.507879   0.500000    4500        2.000000
0.518230   0.550000    4950        2.222222
0.530987   0.600000    5400        2.500000
0.544978   0.650000    5850        2.857143
0.564431   0.700000    6300        3.333333
0.583658   0.750000    6750        4.000000
0.594680   0.775000    6975        4.444444
0.609716   0.800000    7200        5.000000
0.625024   0.825000    7425        5.714286
0.649816   0.850000    7650        6.666667
0.686260   0.875000    7875        8.000000
0.711111   0.887500    7988        8.888889
0.741436   0.900000    8100        10.000000
0.788067   0.912500    8213        11.428571
0.850049   0.925000    8325        13.333333
0.941148   0.937500    8438        16.000000
0.991241   0.943750    8494        17.777778
1.046347   0.950000    8550        20.000000
1.109762   0.956250    8606        22.857143
1.211455   0.962500    8663        26.666667
1.327590   0.968750    8719        32.000000
1.395205   0.971875    8747        35.555556
1.452200   0.975000    8775        40.000000
1.505638   0.978125    8803        45.714286
1.583534   0.981250    8831        53.333333
1.685881   0.984375    8859        64.000000
1.746277   0.985938    8873        71.113640
1.814742   0.987500    8888        80.000000
1.924118   0.989062    8902        91.424392
2.088725   0.990625    8916        106.666667
2.292996   0.992188    8930        128.008193
2.395492   0.992969    8937        142.227279
2.522803   0.993750    8944        160.000000
2.666339   0.994531    8951        182.848784
3.024807   0.995313    8958        213.356091
3.548391   0.996094    8965        256.016385
4.053226   0.996484    8968        284.414107
4.559355   0.996875    8972        320.000000
5.294197   0.997266    8975        365.764448
6.222886   0.997656    8979        426.621160
7.153956   0.998047    8982        512.032770
7.894623   0.998242    8984        568.828214
8.770636   0.998437    8986        639.795266
9.651141   0.998633    8988        731.528895
10.527154  0.998828    8989        853.242321
11.403167  0.999023    8991        1023.541453
12.071658  0.999121    8992        1137.656428
12.853687  0.999219    8993        1280.409731
13.627735  0.999316    8994        1461.988304
14.409764  0.999414    8995        1706.484642
15.191792  0.999512    8996        2049.180328
15.582806  0.999561    8996        2277.904328
15.965841  0.999609    8996        2557.544757
16.356855  0.999658    8997        2923.976608
17.846717  0.999707    8997        3412.969283
19.572696  0.999756    8998        4098.360656
20.418073  0.999780    8998        4545.454545
21.298674  0.999805    8998        5128.205128
22.144052  0.999829    8998        5847.953216
23.024653  0.999854    8999        6849.315068
23.870030  0.999878    8999        8196.721311
24.292719  0.999890    8999        9090.909091
24.715407  0.999902    8999        10204.081633
25.173320  0.999915    8999        11764.705882
25.596009  0.999927    8999        13698.630137
26.018697  0.999939    8999        16393.442623
26.210473  0.999945    9000        18181.818182
26.210473  0.999951    9000        20408.163265
26.210473  0.999957    9000        23255.813953
26.210473  0.999963    9000        27027.027027
26.210473  0.999969    9000        32258.064516
26.210473  0.999973    9000        37037.037037
26.210473  0.999976    9000        41666.666667
26.210473  0.999979    9000        47619.047619
26.210473  0.999982    9000        55555.555556
26.210473  0.999985    9000        66666.666667
26.210473  0.999986    9000        71428.571429
26.210473  0.999988    9000        83333.333333
26.210473  0.999989    9000        90909.090909
26.210473  0.999991    9000        111111.111111
26.210473  0.999992    9000        125000.000000
26.210473  0.999993    9000        142857.142858
26.210473  0.999994    9000        166666.666668
26.210473  0.999995    9000        199999.999999
26.210473  0.999996    9000        250000.000000
26.210473  0.999997    9000        333333.333336
26.210473  0.999998    9000        500000.000013
26.210473  0.999999    9000        999999.999971
26.210473  1.000000    9000        10000000.000000
