Value(ms)     Percentile  TotalCount  1/(1-Percentile)
0.169564      0.000000    0           1.000000
1.033334      0.100000    1872        1.111111
459.915279    0.200000    3744        1.250000
25964.668436  0.300000    5616        1.428571
26208.464207  0.400000    7488        1.666667
26210.579721  0.500000    9360        2.000000
26211.704795  0.550000    10296       2.222222
26212.806960  0.600000    11232       2.500000
26213.717628  0.650000    12168       2.857143
26214.967319  0.700000    13104       3.333333
26216.624483  0.750000    14040       4.000000
26217.851637  0.775000    14508       4.444444
26219.275959  0.800000    14976       5.000000
26220.977401  0.825000    15444       5.714286
26223.937614  0.850000    15912       6.666667
26237.781740  0.875000    16380       8.000000
26262.778231  0.887500    16614       8.888889
26287.120557  0.900000    16848       10.000000
26310.329957  0.912500    17082       11.428571
26334.682283  0.925000    17316       13.333333
26360.035023  0.937500    17550       16.000000
26375.185083  0.943750    17667       17.777778
26389.861503  0.950000    17784       20.000000
26404.090794  0.956250    17901       22.857143
26417.534028  0.962500    18018       26.666667
26431.096679  0.968750    18135       32.000000
26438.605246  0.971875    18194       35.555556
26446.402590  0.975000    18252       40.000000
26454.584960  0.978125    18311       45.714286
26463.609869  0.981250    18369       53.333333
26472.766751  0.984375    18428       64.000000
26478.204029  0.985938    18457       71.113640
26485.967231  0.987500    18486       80.000000
26493.351825  0.989062    18515       91.424392
26499.852602  0.990625    18545       106.666667
26515.054394  0.992188    18574       128.008193
26525.893184  0.992969    18588       142.227279
26531.282055  0.993750    18603       160.000000
26537.992105  0.994531    18618       182.848784
26558.957547  0.995313    18632       213.356091
26579.896178  0.996094    18647       256.016385
26590.397627  0.996484    18654       284.414107
26602.727169  0.996875    18662       320.000000
26615.056712  0.997266    18669       365.764448
26627.354720  0.997656    18676       426.621160
26639.607821  0.998047    18683       512.032770
26645.122408  0.998242    18687       568.828214
26650.636995  0.998437    18691       639.795266
26656.179861  0.998633    18694       731.528895
26661.694448  0.998828    18698       853.242321
26667.209035  0.999023    18702       1023.541453
26670.671836  0.999121    18704       1137.656428
26675.770016  0.999219    18705       1280.409731
26680.816174  0.999316    18707       1461.988304
26685.914354  0.999414    18709       1706.484642
26691.012534  0.999512    18711       2049.180328
26693.561624  0.999561    18712       2277.904328
26696.058692  0.999609    18713       2557.544757
26698.607782  0.999658    18714       2923.976608
26701.156872  0.999707    18715       3412.969283
26704.978889  0.999756    18715       4098.360656
26707.550286  0.999780    18716       4545.454545
26710.228825  0.999805    18716       5128.205128
26712.800222  0.999829    18717       5847.953216
26715.478761  0.999854    18717       6849.315068
26718.050158  0.999878    18718       8196.721311
26719.335857  0.999890    18718       9090.909091
26720.621556  0.999902    18718       10204.081633
26722.014396  0.999915    18718       11764.705882
26723.300095  0.999927    18719       13698.630137
26724.585793  0.999939    18719       16393.442623
26725.228643  0.999945    18719       18181.818182
26725.871492  0.999951    18719       20408.163265
26726.514341  0.999957    18719       23255.813953
26727.157191  0.999963    18719       27027.027027
26727.800040  0.999969    18719       32258.064516
26728.228606  0.999973    18719       37037.037037
26728.259742  0.999976    18720       41666.666667
26728.259742  0.999979    18720       47619.047619
26728.259742  0.999982    18720       55555.555556
26728.259742  0.999985    18720       66666.666667
26728.259742  0.999986    18720       71428.571429
26728.259742  0.999988    18720       83333.333333
26728.259742  0.999989    18720       90909.090909
26728.259742  0.999991    18720       111111.111111
26728.259742  0.999992    18720       125000.000000
26728.259742  0.999993    18720       142857.142858
26728.259742  0.999994    18720       166666.666668
26728.259742  0.999995    18720       199999.999999
26728.259742  0.999996    18720       250000.000000
26728.259742  0.999997    18720       333333.333336
26728.259742  0.999998    18720       500000.000013
26728.259742  0.999999    18720       999999.999971
26728.259742  1.000000    18720       10000000.000000
