Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.208215   0.000000    0           1.000000
0.357183   0.100000    900         1.111111
0.406004   0.200000    1800        1.250000
0.441501   0.300000    2700        1.428571
0.472274   0.400000    3600        1.666667
0.509750   0.500000    4500        2.000000
0.530756   0.550000    4950        2.222222
0.555006   0.600000    5400        2.500000
0.580301   0.650000    5850        2.857143
0.611531   0.700000    6300        3.333333
0.662224   0.750000    6750        4.000000
0.695100   0.775000    6975        4.444444
0.735296   0.800000    7200        5.000000
0.801557   0.825000    7425        5.714286
0.916362   0.850000    7650        6.666667
1.045940   0.875000    7875        8.000000
1.096367   0.887500    7988        8.888889
1.150432   0.900000    8100        10.000000
1.205395   0.912500    8213        11.428571
1.261562   0.925000    8325        13.333333
1.328154   0.937500    8438        16.000000
1.369631   0.943750    8494        17.777778
1.421644   0.950000    8550        20.000000
1.487329   0.956250    8606        22.857143
1.661724   0.962500    8663        26.666667
3.609543   0.968750    8719        32.000000
5.221492   0.971875    8747        35.555556
6.304504   0.975000    8775        40.000000
7.052218   0.978125    8803        45.714286
7.689762   0.981250    8831        53.333333
8.337834   0.984375    8859        64.000000
8.651978   0.985938    8873        71.113640
8.964616   0.987500    8888        80.000000
9.320289   0.989062    8902        91.424392
9.683761   0.990625    8916        106.666667
10.152607  0.992188    8930        128.008193
10.441068  0.992969    8937        142.227279
10.764553  0.993750    8944        160.000000
11.193694  0.994531    8951        182.848784
11.610292  0.995313    8958        213.356091
11.926786  0.996094    8965        256.016385
12.084831  0.996484    8968        284.414107
12.264603  0.996875    8972        320.000000
12.508806  0.997266    8975        365.764448
12.752385  0.997656    8979        426.621160
13.054013  0.998047    8982        512.032770
13.414053  0.998242    8984        568.828214
13.774093  0.998437    8986        639.795266
14.135979  0.998633    8988        731.528895
14.496019  0.998828    8989        853.242321
15.098300  0.999023    8991        1023.541453
16.311401  0.999121    8992        1137.656428
17.524502  0.999219    8993        1280.409731
18.725224  0.999316    8994        1461.988304
19.938324  0.999414    8995        1706.484642
21.151425  0.999512    8996        2049.180328
21.757975  0.999561    8996        2277.904328
22.352147  0.999609    8996        2557.544757
22.958697  0.999658    8997        2923.976608
28.820787  0.999707    8997        3412.969283
35.812166  0.999756    8998        4098.360656
39.236515  0.999780    8998        4545.454545
42.803545  0.999805    8998        5128.205128
46.227894  0.999829    8998        5847.953216
49.794924  0.999854    8999        6849.315068
53.219273  0.999878    8999        8196.721311
54.931448  0.999890    8999        9090.909091
56.643622  0.999902    8999        10204.081633
58.498478  0.999915    8999        11764.705882
60.210652  0.999927    8999        13698.630137
61.922827  0.999939    8999        16393.442623
62.699647  0.999945    9000        18181.818182
62.699647  0.999951    9000        20408.163265
62.699647  0.999957    9000        23255.813953
62.699647  0.999963    9000        27027.027027
62.699647  0.999969    9000        32258.064516
62.699647  0.999973    9000        37037.037037
62.699647  0.999976    9000        41666.666667
62.699647  0.999979    9000        47619.047619
62.699647  0.999982    9000        55555.555556
62.699647  0.999985    9000        66666.666667
62.699647  0.999986    9000        71428.571429
62.699647  0.999988    9000        83333.333333
62.699647  0.999989    9000        90909.090909
62.699647  0.999991    9000        111111.111111
62.699647  0.999992    9000        125000.000000
62.699647  0.999993    9000        142857.142858
62.699647  0.999994    9000        166666.666668
62.699647  0.999995    9000        199999.999999
62.699647  0.999996    9000        250000.000000
62.699647  0.999997    9000        333333.333336
62.699647  0.999998    9000        500000.000013
62.699647  0.999999    9000        999999.999971
62.699647  1.000000    9000        10000000.000000
