Value(ms)     Percentile  TotalCount  1/(1-Percentile)
0.168481      0.000000    0           1.000000
0.777175      0.100000    900         1.111111
1.080612      0.200000    1800        1.250000
1.395766      0.300000    2700        1.428571
303.264740    0.400000    3600        1.666667
11408.896125  0.500000    4500        2.000000
19728.231893  0.550000    4950        2.222222
25907.013774  0.600000    5400        2.500000
26136.713519  0.650000    5850        2.857143
26203.989138  0.700000    6300        3.333333
26205.301327  0.750000    6750        4.000000
26205.904531  0.775000    6975        4.444444
26206.401212  0.800000    7200        5.000000
26206.943166  0.825000    7425        5.714286
26207.388104  0.850000    7650        6.666667
26207.834679  0.875000    7875        8.000000
26208.064374  0.887500    7988        8.888889
26208.295825  0.900000    8100        10.000000
26208.595716  0.912500    8213        11.428571
26208.941550  0.925000    8325        13.333333
26209.305089  0.937500    8438        16.000000
26209.520466  0.943750    8494        17.777778
26209.750748  0.950000    8550        20.000000
26210.028226  0.956250    8606        22.857143
26210.321110  0.962500    8663        26.666667
26210.679318  0.968750    8719        32.000000
26210.860141  0.971875    8747        35.555556
26211.049935  0.975000    8775        40.000000
26211.333811  0.978125    8803        45.714286
26211.548032  0.981250    8831        53.333333
26211.903158  0.984375    8859        64.000000
26212.106223  0.985938    8873        71.113640
26212.314848  0.987500    8888        80.000000
26212.784014  0.989062    8902        91.424392
26213.191707  0.990625    8916        106.666667
26213.719978  0.992188    8930        128.008193
26214.054815  0.992969    8937        142.227279
26214.389653  0.993750    8944        160.000000
26216.416745  0.994531    8951        182.848784
26218.812937  0.995313    8958        213.356091
26221.754358  0.996094    8965        256.016385
26223.625606  0.996484    8968        284.414107
26225.501652  0.996875    8972        320.000000
26227.377697  0.997266    8975        365.764448
26229.617525  0.997656    8979        426.621160
26231.874604  0.998047    8982        512.032770
26233.000256  0.998242    8984        568.828214
26234.125909  0.998437    8986        639.795266
26235.949256  0.998633    8988        731.528895
26238.817121  0.998828    8989        853.242321
26241.684986  0.999023    8991        1023.541453
26243.126271  0.999121    8992        1137.656428
26244.567557  0.999219    8993        1280.409731
26245.994136  0.999316    8994        1461.988304
26247.435422  0.999414    8995        1706.484642
26249.197562  0.999512    8996        2049.180328
26250.150929  0.999561    8996        2277.904328
26251.084840  0.999609    8996        2557.544757
26252.038207  0.999658    8997        2923.976608
26252.991574  0.999707    8997        3412.969283
26253.944942  0.999756    8998        4098.360656
26254.411897  0.999780    8998        4545.454545
26254.898309  0.999805    8998        5128.205128
26255.365264  0.999829    8998        5847.953216
26255.851676  0.999854    8999        6849.315068
26256.318632  0.999878    8999        8196.721311
26257.960706  0.999890    8999        9090.909091
26257.960706  0.999902    8999        10204.081633
26257.960706  0.999915    8999        11764.705882
26257.960706  0.999927    8999        13698.630137
26257.960706  0.999939    8999        16393.442623
26257.960706  0.999945    9000        18181.818182
26257.960706  0.999951    9000        20408.163265
26257.960706  0.999957    9000        23255.813953
26257.960706  0.999963    9000        27027.027027
26257.960706  0.999969    9000        32258.064516
26257.960706  0.999973    9000        37037.037037
26257.960706  0.999976    9000        41666.666667
26257.960706  0.999979    9000        47619.047619
26257.960706  0.999982    9000        55555.555556
26257.960706  0.999985    9000        66666.666667
26257.960706  0.999986    9000        71428.571429
26257.960706  0.999988    9000        83333.333333
26257.960706  0.999989    9000        90909.090909
26257.960706  0.999991    9000        111111.111111
26257.960706  0.999992    9000        125000.000000
26257.960706  0.999993    9000        142857.142858
26257.960706  0.999994    9000        166666.666668
26257.960706  0.999995    9000        199999.999999
26257.960706  0.999996    9000        250000.000000
26257.960706  0.999997    9000        333333.333336
26257.960706  0.999998    9000        500000.000013
26257.960706  0.999999    9000        999999.999971
26257.960706  1.000000    9000        10000000.000000
