Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.189552   0.000000    0           1.000000
0.294774   0.100000    1800        1.111111
0.324376   0.200000    3600        1.250000
0.349591   0.300000    5400        1.428571
0.376730   0.400000    7200        1.666667
0.408489   0.500000    9000        2.000000
0.425441   0.550000    9900        2.222222
0.444088   0.600000    10800       2.500000
0.466323   0.650000    11700       2.857143
0.493917   0.700000    12600       3.333333
0.529603   0.750000    13500       4.000000
0.550948   0.775000    13950       4.444444
0.573956   0.800000    14400       5.000000
0.602095   0.825000    14850       5.714286
0.639918   0.850000    15300       6.666667
0.692856   0.875000    15750       8.000000
0.726621   0.887500    15975       8.888889
0.763526   0.900000    16200       10.000000
0.805584   0.912500    16425       11.428571
0.859176   0.925000    16650       13.333333
0.926510   0.937500    16875       16.000000
0.966134   0.943750    16988       17.777778
1.006585   0.950000    17100       20.000000
1.045846   0.956250    17213       22.857143
1.091698   0.962500    17325       26.666667
1.149406   0.968750    17438       32.000000
1.184632   0.971875    17494       35.555556
1.225518   0.975000    17550       40.000000
1.273671   0.978125    17606       45.714286
1.337825   0.981250    17663       53.333333
1.450260   0.984375    17719       64.000000
1.535108   0.985938    17747       71.113640
1.638455   0.987500    17775       80.000000
1.808939   0.989062    17803       91.424392
2.028421   0.990625    17831       106.666667
2.529168   0.992188    17859       128.008193
2.779381   0.992969    17873       142.227279
3.362686   0.993750    17888       160.000000
4.003116   0.994531    17902       182.848784
4.653355   0.995313    17916       213.356091
6.236703   0.996094    17930       256.016385
7.027364   0.996484    17937       284.414107
8.109017   0.996875    17944       320.000000
9.805586   0.997266    17951       365.764448
11.497816  0.997656    17958       426.621160
13.467019  0.998047    17965       512.032770
14.463929  0.998242    17968       568.828214
15.460839  0.998437    17972       639.795266
17.039888  0.998633    17975       731.528895
23.177322  0.998828    17979       853.242321
29.314756  0.999023    17982       1023.541453
32.399210  0.999121    17984       1137.656428
35.483664  0.999219    17986       1280.409731
38.536644  0.999316    17988       1461.988304
42.314180  0.999414    17989       1706.484642
46.682873  0.999512    17991       2049.180328
48.867220  0.999561    17992       2277.904328
51.006988  0.999609    17993       2557.544757
53.191334  0.999658    17994       2923.976608
55.375681  0.999707    17995       3412.969283
57.560027  0.999756    17996       4098.360656
58.629912  0.999780    17996       4545.454545
59.744374  0.999805    17996       5128.205128
60.890979  0.999829    17997       5847.953216
62.087252  0.999854    17997       6849.315068
63.235675  0.999878    17998       8196.721311
63.809886  0.999890    17998       9090.909091
64.384098  0.999902    17998       10204.081633
65.006160  0.999915    17998       11764.705882
65.580371  0.999927    17999       13698.630137
66.154583  0.999939    17999       16393.442623
66.441688  0.999945    17999       18181.818182
66.728794  0.999951    17999       20408.163265
67.015900  0.999957    17999       23255.813953
67.303005  0.999963    17999       27027.027027
67.590111  0.999969    17999       32258.064516
67.744298  0.999973    18000       37037.037037
67.744298  0.999976    18000       41666.666667
67.744298  0.999979    18000       47619.047619
67.744298  0.999982    18000       55555.555556
67.744298  0.999985    18000       66666.666667
67.744298  0.999986    18000       71428.571429
67.744298  0.999988    18000       83333.333333
67.744298  0.999989    18000       90909.090909
67.744298  0.999991    18000       111111.111111
67.744298  0.999992    18000       125000.000000
67.744298  0.999993    18000       142857.142858
67.744298  0.999994    18000       166666.666668
67.744298  0.999995    18000       199999.999999
67.744298  0.999996    18000       250000.000000
67.744298  0.999997    18000       333333.333336
67.744298  0.999998    18000       500000.000013
67.744298  0.999999    18000       999999.999971
67.744298  1.000000    18000       10000000.000000
