Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.209518   0.000000    0           1.000000
0.347105   0.100000    900         1.111111
0.387868   0.200000    1800        1.250000
0.426602   0.300000    2700        1.428571
0.459512   0.400000    3600        1.666667
0.496500   0.500000    4500        2.000000
0.515332   0.550000    4950        2.222222
0.536567   0.600000    5400        2.500000
0.562086   0.650000    5850        2.857143
0.591357   0.700000    6300        3.333333
0.626722   0.750000    6750        4.000000
0.649736   0.775000    6975        4.444444
0.678102   0.800000    7200        5.000000
0.712025   0.825000    7425        5.714286
0.760242   0.850000    7650        6.666667
0.829623   0.875000    7875        8.000000
0.878319   0.887500    7988        8.888889
0.939155   0.900000    8100        10.000000
1.017423   0.912500    8213        11.428571
1.091783   0.925000    8325        13.333333
1.163690   0.937500    8438        16.000000
1.191804   0.943750    8494        17.777778
1.214344   0.950000    8550        20.000000
1.244949   0.956250    8606        22.857143
1.272366   0.962500    8663        26.666667
1.309259   0.968750    8719        32.000000
1.330011   0.971875    8747        35.555556
1.358020   0.975000    8775        40.000000
1.392868   0.978125    8803        45.714286
1.431587   0.981250    8831        53.333333
1.468264   0.984375    8859        64.000000
1.492268   0.985938    8873        71.113640
1.519605   0.987500    8888        80.000000
1.559286   0.989062    8902        91.424392
1.601102   0.990625    8916        106.666667
1.652121   0.992188    8930        128.008193
1.678369   0.992969    8937        142.227279
1.727905   0.993750    8944        160.000000
1.777440   0.994531    8951        182.848784
1.886591   0.995313    8958        213.356091
2.062322   0.996094    8965        256.016385
2.174831   0.996484    8968        284.414107
2.299787   0.996875    8972        320.000000
2.424743   0.997266    8975        365.764448
2.715101   0.997656    8979        426.621160
3.040875   0.998047    8982        512.032770
3.203345   0.998242    8984        568.828214
3.365815   0.998437    8986        639.795266
3.859931   0.998633    8988        731.528895
4.364520   0.998828    8989        853.242321
4.869109   0.999023    8991        1023.541453
5.122697   0.999121    8992        1137.656428
5.376286   0.999219    8993        1280.409731
5.709862   0.999316    8994        1461.988304
6.175168   0.999414    8995        1706.484642
6.640475   0.999512    8996        2049.180328
6.873129   0.999561    8996        2277.904328
7.101034   0.999609    8996        2557.544757
7.333688   0.999658    8997        2923.976608
7.566341   0.999707    8997        3412.969283
7.798994   0.999756    8998        4098.360656
7.946035   0.999780    8998        4545.454545
8.436972   0.999805    8998        5128.205128
8.908271   0.999829    8998        5847.953216
9.399208   0.999854    8999        6849.315068
9.870507   0.999878    8999        8196.721311
10.106157  0.999890    8999        9090.909091
10.341807  0.999902    8999        10204.081633
10.597094  0.999915    8999        11764.705882
10.832744  0.999927    8999        13698.630137
11.068393  0.999939    8999        16393.442623
11.175309  0.999945    9000        18181.818182
11.175309  0.999951    9000        20408.163265
11.175309  0.999957    9000        23255.813953
11.175309  0.999963    9000        27027.027027
11.175309  0.999969    9000        32258.064516
11.175309  0.999973    9000        37037.037037
11.175309  0.999976    9000        41666.666667
11.175309  0.999979    9000        47619.047619
11.175309  0.999982    9000        55555.555556
11.175309  0.999985    9000        66666.666667
11.175309  0.999986    9000        71428.571429
11.175309  0.999988    9000        83333.333333
11.175309  0.999989    9000        90909.090909
11.175309  0.999991    9000        111111.111111
11.175309  0.999992    9000        125000.000000
11.175309  0.999993    9000        142857.142858
11.175309  0.999994    9000        166666.666668
11.175309  0.999995    9000        199999.999999
11.175309  0.999996    9000        250000.000000
11.175309  0.999997    9000        333333.333336
11.175309  0.999998    9000        500000.000013
11.175309  0.999999    9000        999999.999971
11.175309  1.000000    9000        10000000.000000
