Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.157504   0.000000    0           1.000000
0.187797   0.100000    1872        1.111111
0.196307   0.200000    3744        1.250000
0.204539   0.300000    5616        1.428571
0.213359   0.400000    7488        1.666667
0.223608   0.500000    9360        2.000000
0.229643   0.550000    10296       2.222222
0.236457   0.600000    11232       2.500000
0.244889   0.650000    12168       2.857143
0.254369   0.700000    13104       3.333333
0.266593   0.750000    14040       4.000000
0.273813   0.775000    14508       4.444444
0.282588   0.800000    14976       5.000000
0.292030   0.825000    15444       5.714286
0.304324   0.850000    15912       6.666667
0.318667   0.875000    16380       8.000000
0.327504   0.887500    16614       8.888889
0.338230   0.900000    16848       10.000000
0.352822   0.912500    17082       11.428571
0.372562   0.925000    17316       13.333333
0.401006   0.937500    17550       16.000000
0.422631   0.943750    17667       17.777778
0.450531   0.950000    17784       20.000000
0.486366   0.956250    17901       22.857143
0.547292   0.962500    18018       26.666667
0.677480   0.968750    18135       32.000000
0.827029   0.971875    18194       35.555556
1.233301   0.975000    18252       40.000000
2.313943   0.978125    18311       45.714286
3.700715   0.981250    18369       53.333333
5.155860   0.984375    18428       64.000000
5.906767   0.985938    18457       71.113640
6.711902   0.987500    18486       80.000000
7.487658   0.989062    18515       91.424392
8.194962   0.990625    18545       106.666667
9.102249   0.992188    18574       128.008193
9.611534   0.992969    18588       142.227279
10.060182  0.993750    18603       160.000000
10.451262  0.994531    18618       182.848784
10.839578  0.995313    18632       213.356091
11.220630  0.996094    18647       256.016385
11.418064  0.996484    18654       284.414107
11.685774  0.996875    18662       320.000000
11.953483  0.997266    18669       365.764448
12.221669  0.997656    18676       426.621160
12.560034  0.998047    18683       512.032770
12.728784  0.998242    18687       568.828214
12.897534  0.998437    18691       639.795266
13.067149  0.998633    18694       731.528895
13.194797  0.998828    18698       853.242321
13.321403  0.999023    18702       1023.541453
13.385031  0.999121    18704       1137.656428
13.448658  0.999219    18705       1280.409731
13.511637  0.999316    18707       1461.988304
13.575264  0.999414    18709       1706.484642
13.907376  0.999512    18711       2049.180328
14.119658  0.999561    18712       2277.904328
14.327608  0.999609    18713       2557.544757
14.539891  0.999658    18714       2923.976608
14.752173  0.999707    18715       3412.969283
14.964456  0.999756    18715       4098.360656
15.068431  0.999780    18716       4545.454545
15.176738  0.999805    18716       5128.205128
15.280713  0.999829    18717       5847.953216
15.471929  0.999854    18717       6849.315068
15.715476  0.999878    18718       8196.721311
15.837249  0.999890    18718       9090.909091
15.959022  0.999902    18718       10204.081633
16.090944  0.999915    18718       11764.705882
16.212717  0.999927    18719       13698.630137
16.334491  0.999939    18719       16393.442623
16.395377  0.999945    18719       18181.818182
16.456264  0.999951    18719       20408.163265
16.517151  0.999957    18719       23255.813953
16.578038  0.999963    18719       27027.027027
16.638924  0.999969    18719       32258.064516
16.679516  0.999973    18719       37037.037037
16.682465  0.999976    18720       41666.666667
16.682465  0.999979    18720       47619.047619
16.682465  0.999982    18720       55555.555556
16.682465  0.999985    18720       66666.666667
16.682465  0.999986    18720       71428.571429
16.682465  0.999988    18720       83333.333333
16.682465  0.999989    18720       90909.090909
16.682465  0.999991    18720       111111.111111
16.682465  0.999992    18720       125000.000000
16.682465  0.999993    18720       142857.142858
16.682465  0.999994    18720       166666.666668
16.682465  0.999995    18720       199999.999999
16.682465  0.999996    18720       250000.000000
16.682465  0.999997    18720       333333.333336
16.682465  0.999998    18720       500000.000013
16.682465  0.999999    18720       999999.999971
16.682465  1.000000    18720       10000000.000000
