Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.215500   0.000000    0           1.000000
0.336418   0.100000    900         1.111111
0.375356   0.200000    1800        1.250000
0.410805   0.300000    2700        1.428571
0.446400   0.400000    3600        1.666667
0.479765   0.500000    4500        2.000000
0.498734   0.550000    4950        2.222222
0.520965   0.600000    5400        2.500000
0.543866   0.650000    5850        2.857143
0.573406   0.700000    6300        3.333333
0.608886   0.750000    6750        4.000000
0.632159   0.775000    6975        4.444444
0.659117   0.800000    7200        5.000000
0.688755   0.825000    7425        5.714286
0.728245   0.850000    7650        6.666667
0.783528   0.875000    7875        8.000000
0.823365   0.887500    7988        8.888889
0.877824   0.900000    8100        10.000000
0.955920   0.912500    8213        11.428571
1.040357   0.925000    8325        13.333333
1.142418   0.937500    8438        16.000000
1.200863   0.943750    8494        17.777778
1.276789   0.950000    8550        20.000000
1.363612   0.956250    8606        22.857143
1.476815   0.962500    8663        26.666667
1.584939   0.968750    8719        32.000000
1.635295   0.971875    8747        35.555556
1.696319   0.975000    8775        40.000000
1.776824   0.978125    8803        45.714286
1.874576   0.981250    8831        53.333333
1.985245   0.984375    8859        64.000000
2.062520   0.985938    8873        71.113640
2.156005   0.987500    8888        80.000000
2.289373   0.989062    8902        91.424392
2.457148   0.990625    8916        106.666667
2.706127   0.992188    8930        128.008193
2.859637   0.992969    8937        142.227279
3.059532   0.993750    8944        160.000000
3.275145   0.994531    8951        182.848784
3.780955   0.995313    8958        213.356091
4.346894   0.996094    8965        256.016385
4.666157   0.996484    8968        284.414107
5.311819   0.996875    8972        320.000000
5.957480   0.997266    8975        365.764448
6.601491   0.997656    8979        426.621160
7.973598   0.998047    8982        512.032770
9.191537   0.998242    8984        568.828214
10.409475  0.998437    8986        639.795266
11.633659  0.998633    8988        731.528895
12.851598  0.998828    8989        853.242321
14.346886  0.999023    8991        1023.541453
16.140727  0.999121    8992        1137.656428
17.934568  0.999219    8993        1280.409731
19.710105  0.999316    8994        1461.988304
21.503946  0.999414    8995        1706.484642
23.297788  0.999512    8996        2049.180328
24.194708  0.999561    8996        2277.904328
25.073325  0.999609    8996        2557.544757
25.970245  0.999658    8997        2923.976608
26.952325  0.999707    8997        3412.969283
27.952703  0.999756    8998        4098.360656
28.442685  0.999780    8998        4545.454545
28.953082  0.999805    8998        5128.205128
29.443063  0.999829    8998        5847.953216
29.953460  0.999854    8999        6849.315068
30.443441  0.999878    8999        8196.721311
30.688432  0.999890    8999        9090.909091
30.933423  0.999902    8999        10204.081633
31.198829  0.999915    8999        11764.705882
31.443820  0.999927    8999        13698.630137
31.688810  0.999939    8999        16393.442623
31.799964  0.999945    9000        18181.818182
31.799964  0.999951    9000        20408.163265
31.799964  0.999957    9000        23255.813953
31.799964  0.999963    9000        27027.027027
31.799964  0.999969    9000        32258.064516
31.799964  0.999973    9000        37037.037037
31.799964  0.999976    9000        41666.666667
31.799964  0.999979    9000        47619.047619
31.799964  0.999982    9000        55555.555556
31.799964  0.999985    9000        66666.666667
31.799964  0.999986    9000        71428.571429
31.799964  0.999988    9000        83333.333333
31.799964  0.999989    9000        90909.090909
31.799964  0.999991    9000        111111.111111
31.799964  0.999992    9000        125000.000000
31.799964  0.999993    9000        142857.142858
31.799964  0.999994    9000        166666.666668
31.799964  0.999995    9000        199999.999999
31.799964  0.999996    9000        250000.000000
31.799964  0.999997    9000        333333.333336
31.799964  0.999998    9000        500000.000013
31.799964  0.999999    9000        999999.999971
31.799964  1.000000    9000        10000000.000000
