Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.154146   0.000000    0           1.000000
0.188704   0.100000    1800        1.111111
0.196837   0.200000    3600        1.250000
0.205077   0.300000    5400        1.428571
0.213530   0.400000    7200        1.666667
0.223445   0.500000    9000        2.000000
0.229207   0.550000    9900        2.222222
0.235998   0.600000    10800       2.500000
0.243788   0.650000    11700       2.857143
0.252884   0.700000    12600       3.333333
0.264410   0.750000    13500       4.000000
0.271769   0.775000    13950       4.444444
0.279554   0.800000    14400       5.000000
0.289231   0.825000    14850       5.714286
0.301504   0.850000    15300       6.666667
0.315212   0.875000    15750       8.000000
0.323185   0.887500    15975       8.888889
0.333412   0.900000    16200       10.000000
0.345987   0.912500    16425       11.428571
0.361135   0.925000    16650       13.333333
0.385957   0.937500    16875       16.000000
0.403677   0.943750    16988       17.777778
0.430030   0.950000    17100       20.000000
0.466588   0.956250    17213       22.857143
0.536345   0.962500    17325       26.666667
0.680256   0.968750    17438       32.000000
0.962274   0.971875    17494       35.555556
1.654742   0.975000    17550       40.000000
2.858435   0.978125    17606       45.714286
4.092111   0.981250    17663       53.333333
5.458769   0.984375    17719       64.000000
6.207720   0.985938    17747       71.113640
6.987327   0.987500    17775       80.000000
7.760553   0.989062    17803       91.424392
8.518536   0.990625    17831       106.666667
9.594714   0.992188    17859       128.008193
10.093843  0.992969    17873       142.227279
10.361369  0.993750    17888       160.000000
10.665936  0.994531    17902       182.848784
11.104305  0.995313    17916       213.356091
11.551152  0.996094    17930       256.016385
11.784913  0.996484    17937       284.414107
12.019274  0.996875    17944       320.000000
12.253634  0.997266    17951       365.764448
12.612483  0.997656    17958       426.621160
12.986407  0.998047    17965       512.032770
13.172891  0.998242    17968       568.828214
13.437890  0.998437    17972       639.795266
13.945192  0.998633    17975       731.528895
14.449907  0.998828    17979       853.242321
14.954621  0.999023    17982       1023.541453
15.208272  0.999121    17984       1137.656428
15.461923  0.999219    17986       1280.409731
15.866364  0.999316    17988       1461.988304
16.347757  0.999414    17989       1706.484642
16.829150  0.999512    17991       2049.180328
17.069847  0.999561    17992       2277.904328
17.305631  0.999609    17993       2557.544757
17.546328  0.999658    17994       2923.976608
17.787024  0.999707    17995       3412.969283
18.027721  0.999756    17996       4098.360656
18.204311  0.999780    17996       4545.454545
18.987464  0.999805    17996       5128.205128
19.739291  0.999829    17997       5847.953216
20.522444  0.999854    17997       6849.315068
21.274272  0.999878    17998       8196.721311
21.650185  0.999890    17998       9090.909091
22.026099  0.999902    17998       10204.081633
22.433339  0.999915    17998       11764.705882
22.809252  0.999927    17999       13698.630137
23.185166  0.999939    17999       16393.442623
23.373123  0.999945    17999       18181.818182
23.561079  0.999951    17999       20408.163265
23.749036  0.999957    17999       23255.813953
23.936993  0.999963    17999       27027.027027
24.124950  0.999969    17999       32258.064516
24.225890  0.999973    18000       37037.037037
24.225890  0.999976    18000       41666.666667
24.225890  0.999979    18000       47619.047619
24.225890  0.999982    18000       55555.555556
24.225890  0.999985    18000       66666.666667
24.225890  0.999986    18000       71428.571429
24.225890  0.999988    18000       83333.333333
24.225890  0.999989    18000       90909.090909
24.225890  0.999991    18000       111111.111111
24.225890  0.999992    18000       125000.000000
24.225890  0.999993    18000       142857.142858
24.225890  0.999994    18000       166666.666668
24.225890  0.999995    18000       199999.999999
24.225890  0.999996    18000       250000.000000
24.225890  0.999997    18000       333333.333336
24.225890  0.999998    18000       500000.000013
24.225890  0.999999    18000       999999.999971
24.225890  1.000000    18000       10000000.000000
