Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.147102   0.000000    0           1.000000
0.187116   0.100000    1800        1.111111
0.195518   0.200000    3600        1.250000
0.203577   0.300000    5400        1.428571
0.211880   0.400000    7200        1.666667
0.222110   0.500000    9000        2.000000
0.227824   0.550000    9900        2.222222
0.234245   0.600000    10800       2.500000
0.241934   0.650000    11700       2.857143
0.251799   0.700000    12600       3.333333
0.263376   0.750000    13500       4.000000
0.270227   0.775000    13950       4.444444
0.278793   0.800000    14400       5.000000
0.288675   0.825000    14850       5.714286
0.300679   0.850000    15300       6.666667
0.315048   0.875000    15750       8.000000
0.324769   0.887500    15975       8.888889
0.334874   0.900000    16200       10.000000
0.347598   0.912500    16425       11.428571
0.363207   0.925000    16650       13.333333
0.386381   0.937500    16875       16.000000
0.403327   0.943750    16988       17.777778
0.423287   0.950000    17100       20.000000
0.460836   0.956250    17213       22.857143
0.515006   0.962500    17325       26.666667
0.622992   0.968750    17438       32.000000
0.712846   0.971875    17494       35.555556
1.156162   0.975000    17550       40.000000
2.136061   0.978125    17606       45.714286
3.476063   0.981250    17663       53.333333
4.927534   0.984375    17719       64.000000
5.815441   0.985938    17747       71.113640
6.702779   0.987500    17775       80.000000
7.416542   0.989062    17803       91.424392
8.140521   0.990625    17831       106.666667
9.215418   0.992188    17859       128.008193
9.713387   0.992969    17873       142.227279
10.149395  0.993750    17888       160.000000
10.585403  0.994531    17902       182.848784
11.001183  0.995313    17916       213.356091
11.415759  0.996094    17930       256.016385
11.643572  0.996484    17937       284.414107
11.905078  0.996875    17944       320.000000
12.166584  0.997266    17951       365.764448
12.427422  0.997656    17958       426.621160
12.773127  0.998047    17965       512.032770
12.971548  0.998242    17968       568.828214
13.169969  0.998437    17972       639.795266
13.369408  0.998633    17975       731.528895
13.567829  0.998828    17979       853.242321
13.875086  0.999023    17982       1023.541453
14.075112  0.999121    17984       1137.656428
14.275137  0.999219    17986       1280.409731
14.473122  0.999316    17988       1461.988304
14.673147  0.999414    17989       1706.484642
14.873173  0.999512    17991       2049.180328
14.973186  0.999561    17992       2277.904328
15.071158  0.999609    17993       2557.544757
15.260187  0.999658    17994       2923.976608
15.588433  0.999707    17995       3412.969283
15.916679  0.999756    17996       4098.360656
16.077453  0.999780    17996       4545.454545
16.244925  0.999805    17996       5128.205128
16.405699  0.999829    17997       5847.953216
16.573171  0.999854    17997       6849.315068
16.733945  0.999878    17998       8196.721311
16.814332  0.999890    17998       9090.909091
16.894719  0.999902    17998       10204.081633
16.981805  0.999915    17998       11764.705882
17.062191  0.999927    17999       13698.630137
17.142578  0.999939    17999       16393.442623
17.539808  0.999945    17999       18181.818182
17.539808  0.999951    17999       20408.163265
17.539808  0.999957    17999       23255.813953
17.539808  0.999963    17999       27027.027027
17.539808  0.999969    17999       32258.064516
17.539808  0.999973    18000       37037.037037
17.539808  0.999976    18000       41666.666667
17.539808  0.999979    18000       47619.047619
17.539808  0.999982    18000       55555.555556
17.539808  0.999985    18000       66666.666667
17.539808  0.999986    18000       71428.571429
17.539808  0.999988    18000       83333.333333
17.539808  0.999989    18000       90909.090909
17.539808  0.999991    18000       111111.111111
17.539808  0.999992    18000       125000.000000
17.539808  0.999993    18000       142857.142858
17.539808  0.999994    18000       166666.666668
17.539808  0.999995    18000       199999.999999
17.539808  0.999996    18000       250000.000000
17.539808  0.999997    18000       333333.333336
17.539808  0.999998    18000       500000.000013
17.539808  0.999999    18000       999999.999971
17.539808  1.000000    18000       10000000.000000
